id,nome
CRD3000-1001RR,BERCO CARREGADOR DE 1 POSICAO MOTOROLA MC3090/MC3190/MC32N0
PHD20-2261-01,CABECA DE IMPRESSAO DATAMAX M-CLASS M-4206 203 DPI
MLB-1205131285,FITA PARA IMPRESSORA DE CHEQUE CHRONOS SCHALTER ELGIN IMPRECHEQ
ALT-MOTOROLA-SB1,ALTO FALANTE MOTOROLA SB1
P1046696-145,CORREIA DE REBOBINACAO PARA IMPRESSORA ZE500
BAT0462,BATERIA 2815MAH 3.83V PARA CELULAR IPHONE 12
806200,PLACA PRINCIPAL PARA TECLADO PROGRAMAVEL GERTEC TEC-E 44
RFD8500-5000100-US-C,PLACA PRINCIPAL DO LEITOR RFID8500 COM MODULO
ADS-65HI-12N-112060E,FONTE DE ALIMENTACAO (12V 5A 60W 4 PINOS PS2) PARA CARREGADOR PM451
CYB-12361,PLACA POWERBOARD  (59 TECLAS 2 VERSAO) INTERMEC CK71
LNT-FRTL-BR-220-BT,LENTE DE ACRILICO FRONTAL PARA LEITOR ELGIN BR-220 BT
INTE-SCANNER-LENS-27,LENTE DE PROTECAO DO MODULO LASER (EX25) PARA INTERMEC CK3A1
TD028STEB2,LCD COM TOUCH (TD028STEB2) OPTICON H-32
DE2171-AF,MODULO LASER 1D/2D (DE2171-AF) DATALOGIC FALCON X4
FRO989,LCD COM TOUCH COM ARO PARA CELULAR SAMSUNG GALAXY A21S
105912G-845,EIXO DA TRAVA DA MESA DA CABECA DE IMPRESSAO IMPRESSORA ZEBRA P330I
AAC265D,ALTO FALANTE PARA CELULAR MOTOROLA MOTO G32
PSION-FLEX-CABLE-36,CABO FLEX DA PLACA PRINCIPAL PARA COLETOR DE DADOS PSION 7545 XV
MC92N0-GJ0SYEYC6WR,"COLETOR DE DADOS  MOTOROLA MC92N0 GUN, CE 7.0 1D LONGA DISTANCIA"
KPE-57-12GBH4-FAR,CABECA DE IMPRESSAO FARGO DTC1500 / DTC4000 / DTC4250E
TL-320,LEITOR TANCA TL-320 IMAGER 2D QR CODE - USB
LIMMULT,LIMPADOR MULTIUSO VEJA 500ML
CYB-15022,PLACA PRINCIPAL DA ZQ630
MC220J-2A3S2RW,"COLETOR DE DADOS 2D ZEBRA MC2200 ANDROID , SE4100 , BT , WI-FI"
SYMBOL-SCANNER-30,MODULO LASER LORAX SE-1524 MOTOROLA MC9060/MC9090/MC9190/MC92N0
8-0731-08,CABO DE COMUNICACAO IBM DATALOGIC MAGELLAN VS2200 / 3200VSI
ESTABILIZADOR-60V,ESTABILIZADOR DE LABORATORIO DC FONTE DE ALIMENTACAO AJUSTAVEL 60 V
MC2180-M,COLETOR DE DADOS MC2180 CORE
CYB-13114,TOUCH SCREEN PARA DATALOGIC MEMOR X3
CRD-MC18-1SLOT-01,BASE DE TRAVAMENTO DE SLOT ⁄NICO ZEBRA MC18
P1050667-001,CABECA DE IMPRESSAO ZEBRA QLN420 203DPI
DI9010C-2D,LEITOR DE DADOS DI9010C 2D
SM-A217F,"CABO FLEX DA PLACA, SUB PLACA E LCD PARA CELULAR SAMSUNG GALAXY A21S"
85369090,CONECTOR BNC MACHO RG59 COM ANEL 270/1
ZEBRA-ROLLER-02,ROLETE DE BORRACHA ZEBRA QLN320
SUB-BRD-A01,SUB PLACA PARA CELULAR SAMSUNG GALAXY A01
99-21402-042,IMPRESSORA TERMICA ARGOX OS214 PLUS
94ACC0083,BATERIA STANDARD (1430MAH) DATALOGIC MEMOR X3
Y-B9-1,LEITOR DE DADOS USB JLY Y-B9-1
1470G2D-2-R-INT,LEITOR DE DADOS HONEYWELL VOYAGER 1470G 2D
TI-SK80,"COLETOR DE DADOS TIGER TI-SK80 ANDROID 9, WIFI, 32GB"
LS7708-SPEAKER-01,ALTO FALANTE SYMBOL LS7708 / 5700
CRD9000-10001SR,BERCO 1 POSICAO MOTOROLA SYMBOL MC9090 / MC9190 / MC92N0 GUN
SYMBOL-LCD21,LCD DISPLAY (ALTA RESOLUCAO) COM PLACA PCB MOTOROLA MC9090
MC330K-GE4HG4RW,"COLETOR DE DADOS MC33 2D, 47 TECLAS, ALFANUMERICO, ANDROID 7"
MC3090-GU0PPCG00WR,COLETOR DE DADOS MOTOROLA MC3090 GUN
SYMBOL-TOUCH-42,TOUCH SCREEN PARA MOTOROLA SYMBOL VC70N0
50147634-001FRE,DISPLAY LCD INTERNO PARA COLETOR VEICULAR THOR VM1A
CYB-15414,CARCACA SUPERIOR DO LEITOR ZEBRA DS3678 1D/2D BLUETOOTH
MC330K-GI4HG3RW,"COLETOR ZEBRA MC330K ALFANUMERICO 47-TECLAS , 2D CURTA, ANDROID 7.0"
HOSPEDAGEM,RESERVA DE HOTEL - HOSPEDAGEM
8T55-0007-023,COLETOR DE DADOS CIPHERLAB CPX8000
44076-4,TAMPA DO PAINEL FRONTAL COM LOGO ZEBRA S600
DS3608-ER20003VZWW,LEITOR DE DADOS ZEBRA DS3608-ER
500.667,COLETOR DE DADOS ACURA DOTH-300UF
MC32N0-GI4HCHEI3,COLETOR DE DADOS 2D MOTOROLA MC32N0 GUN WINDOWS 48 TECLAS
LA-DE-A«O,L√ DE A«O PACOTE COM 60G
ZM600-200A-0000T,IMPRESSORA T…RMICA ZEBRA ZM600 - 203
566751-001,SENSOR REFLEXIVO DATACARD SD360
G77807M,SENSOR DE ETIQUETA ZEBRA S4M
PMD-SX3,PLACA PRINCIPAL CARREGADOR BATERIA DE 4 POS. DATALOGIC SKORPIO X3 / X4
20-4710-LM00R,MODULO LASER (SE4710) ZEBRA TC25
ZEBRA-ROLLER-02,ROLETE DE BORRACHA ZEBRA QLN320
SYMBOL-METAL-PART-05,TRAVA DE ENCAIXE MOLA DE METAL DA BATERIA MC3090/MC3190
CYB-13548,PLACA PRINCIPAL PARA SYMBOL TC8000 / TC80N0
TM065JVHC09-00,LCD COM TOUCH COM ARO PARA CELULAR MOTOROLA MOTO G9 PLAY
DATALOGIC-SPEAKER-14,ALTO FALANTE INTERNO DATALOGIC SKORPIO X3
DATALO-BACK-COVER-06,CARCACA TRASEIRA C/ PCB (2 /VERS√O) DATALOGIC MEMOR
CRD3000-4001ER,BERCO 4 POSICOES PARA COLETOR MOTOROLA MC3090 / MC3190 / MC32N0
PHD20-2181-01,CABECA DE IMPRESSAO DATAMAX I-CLASS MI I-4208 203 DPI
PROD-HIGIENE,PRODUTOS DE HIGIENE PESSOAL
SYMBOL-SCANNER-60,MODULO LASER 2D (SE4600) SYMBOL MC92N0 GUN / DS3508 ER
CYB-14479,CONJUNTO DE BOTOES LATERAIS DO SCANNER PARA COLETOR HONEYWELL EDA51
XT1962,ALTO FALANTE PARA CELULAR MOTOROLA MOTO G7 POWER / G7 PLAY
SAC-MC33-45CHG-01,CARREGADOR DE BATERIA DE 4 POSICOES ZEBRA MC33
J-102,LEITOR DE C”DIGO DE BARRAS J-102
PD43A0310001020,IMPRESSORA TERMICA INDUSTRIAL INTERMEC PD43
SV0033,CUSTO EXCEDE 70% DO VALOR DO EQUIPAMENTO
05095GS11007,"RIBBON DE RESINA 110MM X 74M / 4.33"" X 2,913"" ZEBRA"
SYMBOL-BACK-COVER-80,CARCACA TRASEIRA PARA LEITOR DE DADOS SYMBOL LS4278 / LI4278 / DS6878
RK17393-020,PLACA PRINCIPAL ZEBRA PARA RW220
HONEY-CAPACITOR-01,"CAPACITOR (PC10,10F,25V) HONEYWELL LXE MX7 TECTON"
8710-050100-42,LENTE DE PROTE«√O SYMBOL MC1000
PIPOCASALGADA,PACOTE DE PIPOCA SALGADA
79501-011,PLACA DE REDE ZEBRA 110XI4 / ZM400 / ZM600
CXAMORTDIANT,COXIM AMORTECEDOR DIANTEIRO
CYB-13431,CABO FLEX DO MODULO LASER (SE4710) ZEBRA TC25/TC20/TC200 (DESCONTIN)
NOTEBOOKDELL-3470,NOTEBOOK DELL LATITUDE E5470 CORE I5 DUAL CORE 8GB MEMORI
CYB-13431,CABO FLEX DO MODULO LASER (SE4710) ZEBRA TC25/TC20/TC200 (DESCONTIN)
128416,TRAVA (AMARELA) PARA TAMPA SUPERIOR DA IMPRESSORA PATHFINDER 6140
24-64339-09,PLACA BLUETOOTH (24-64381-01) PARA MC9060 GUN / MC9060 BRICK / MC9060S
P1053360-002,SENSOR DE ETIQUETAS GAP IMPRESSORA 105SL PLUS
11-72959-04R,CAPA DE PROTE«√O DE SILICONE PARA COLETOR MOTOROLA MC3190/3090G
D930164,ENGRENAGEM DE TRACAO DO CARTAO PARA IMPRESSORA FARGO DTC1250E
SYMBOL-HANDSTRAP-05,ALCA DE MAO MOTOROLA MC55 / MC5574 / MC5590 / MC65 / MC659B
P1028754,TAMPA DA PORTA USB ZEBRA QLN220
2A100000000343,MOTOR 24V MECANISMO IMPRESSAO CEST:0109600 (CUSTOM K80)
MC9190-G30SWSQA62R,COLETOR DE DADOS MOTOROLA MC9190 GUN 2D/LASER CURTA DISTANCIA WIN MOB
CABOREDECAT5E,CABO DE REDE CAT 5E 4PX24 305 METROS CONDUTTI
PROTHIDROGCK75,SCREEN PROTECTOR DE HIDROGEL PARA COLETOR HONEYWELL CK75
S400-101-00000,IMPRESSORA T…RMICA  ZEBRA S400
ZE500-4,IMPRESSORA DE T…RMICA ZEBRA ZE500-4
CYB-13348,PLACA POWERBOARD SYMBOL MC330K-R/MC330K-S/MC330M-R/MC330M-/MC333R-G
GAVETA-PLASTICA,GAVETA PLASTICA BIN N7 CAIXA ORGANIZADORA PRETA
TC80N0-2000K210NA,COLETOR DE DADOS ZEBRA TC8000
7.89846E+12,CABO USB PARA IMPRESSORAS TERMICAS
SYMB-SCANNER-LENS-10,LENTE DE PROTECAO MODULO LASER MOTOROLA MC9090 / MC9190 GUN
FIO-COBRE,FIO DE COBRE ESMALTADO
PASTILHA-GARGANTA,PASTILHA PARA GARGANTA STREPSILS
EDA50-011-C111B-HSM,COLETOR DE DADOS HONEYWELL EDA50 COM ANDROID
P1029403-01,PLACA DE CARREGAMENTO (P1034510-701) PARA IMPRESSORA QLN220 / QLN320
216954,CABO DE COMUNICACAO USB MINI V3 PARA COLETORES MC3190
SYMBOL-BUZZER-01,CAMPAINHA ALTO FALANTE BIP MOTOROLA MC3090
CYB-14299,"CABO FLEX DO MOTOR DO SCANNER PARA COLETOR DOLPHIN CT60, CT60XP"
170500199,PISTOLA DO COLETOR DE DADOS BLUEBIRD EF400
GVT-CHIP-A34,GAVETA DO CHIP PARA CELULAR SAMSUNG GALAXY A34
HDI-RFID-IP66,KIT 5 CHAVEIROS HDL TAG RFID 125KHZ CONTROLE DE ACESSO
DOLPHIN-KEYPAD-PCB-0,PLACA POWERBOARD E TECLADO 25 TECLAS HONEYWELL DOLPHIN 6100
3799-03,IMPRESSORA DE  CHEQUES BEMATHECH DP-20
CYB-12770,CABO FLEX DO MODULO LASER (DE2011-DL) DATALOGIC MEMOR X3
TAMPA-MP4200-INC,TAMPA SUPERIOR (SEM ROLETE) PARA BEMATECH MP-4000 / MP-4200TH
MC9190-G905WEQA6W,COLETOR DE DADOS MOTOROLA MC9190 GUN LASER 2D LONGA DISTANCIA WIN CE
MK3190-030BG4EBTWW,TERMINAL DE CONSULTA MICRO KIOSK 2D ZEBRA MK3190
90A052065,CABO USB DATALOGIC QUICKSCAN QD2100 QD2130 GRYPHON
LS3578-FZ20005WR,LEITOR DE DADOS MOTOROLA LS3578
